CODMUNRES,ano_nasc,Qtd_Baixo_Peso,Qtd_Total
150040,2015,82,1133
150040,2016,58,1031
150040,2017,64,1132
150040,2018,68,1190
150040,2019,89,1194
150050,2012,37,693
150050,2013,54,754
150050,2014,40,801
150050,2015,67,797
150050,2016,49,739
150050,2017,60,745
150050,2018,62,780
150050,2019,62,779
150060,2012,151,2105
150060,2013,190,2529
150060,2014,180,2866
150060,2015,210,2991
150060,2016,210,2846
150060,2017,165,2487
150060,2018,208,2568
150060,2019,160,2371
150070,2012,38,751
150070,2013,59,736
150070,2014,41,737
150070,2015,38,742
150070,2016,55,819
150070,2017,36,855
150070,2018,40,871
150070,2019,43,837
150080,2012,747,8195
150080,2013,745,8035
150080,2014,690,8282
150080,2015,717,8397
150080,2016,628,8011
150080,2017,667,7940
150080,2018,700,7772
150080,2019,588,7408
150085,2012,32,530
150085,2013,37,531
150085,2014,38,542
150085,2015,45,600
150085,2016,40,575
150085,2017,44,630
150085,2018,45,656
150085,2019,45,652
150090,2012,58,965
150090,2013,73,1050
150090,2014,89,990
150090,2015,69,954
150090,2016,57,954
150090,2017,61,935
150090,2018,67,901
150090,2019,59,809
150095,2012,25,372
150095,2013,34,418
150095,2014,27,472
150095,2015,33,440
150095,2016,24,395
150095,2017,24,401
150095,2018,24,368
150095,2019,26,425
150100,2012,9,206
150100,2013,13,215
150100,2014,7,194
150100,2015,11,198
150100,2016,11,205
150100,2017,9,160
150100,2018,7,182
150100,2019,7,146
150110,2012,43,465
150110,2013,36,460
150110,2014,41,548
