CODMUNRES,ano_nasc,Qtd_7a_serie,Qtd_Total
150050,2015,367,797
150050,2016,349,739
150050,2017,372,745
150050,2018,352,780
150050,2019,374,779
150060,2012,880,2105
150060,2013,958,2529
150060,2014,868,2866
150060,2015,836,2991
150060,2016,1047,2846
150060,2017,644,2487
150060,2018,884,2568
150060,2019,745,2371
150070,2012,608,751
150070,2013,569,736
150070,2014,531,737
150070,2015,529,742
150070,2016,577,819
150070,2017,589,855
150070,2018,532,871
150070,2019,460,837
150080,2012,1845,8195
150080,2013,1347,8035
150080,2014,1266,8282
150080,2015,1571,8397
150080,2016,1128,8011
150080,2017,1211,7940
150080,2018,908,7772
150080,2019,964,7408
150085,2012,365,530
150085,2013,326,531
150085,2014,306,542
150085,2015,336,600
150085,2016,305,575
150085,2017,295,630
150085,2018,317,656
150085,2019,274,652
150090,2012,578,965
150090,2013,618,1050
150090,2014,545,990
150090,2015,504,954
150090,2016,442,954
150090,2017,409,935
150090,2018,376,901
150090,2019,309,809
150095,2012,225,372
150095,2013,226,418
150095,2014,258,472
150095,2015,222,440
150095,2016,185,395
150095,2017,162,401
150095,2018,170,368
150095,2019,166,425
150100,2012,84,206
150100,2013,82,215
150100,2014,70,194
150100,2015,60,198
150100,2016,69,205
150100,2017,66,160
150100,2018,61,182
150100,2019,52,146
150110,2012,380,465
150110,2013,369,460
150110,2014,431,548
