CODMUNRES,ano_nasc,Qtd_Ao_Menos_1_Consulta_Pre_Natal,Qtd_Total
140047,2015,514,527
140047,2016,537,542
140047,2017,560,563
140047,2018,611,628
140047,2019,561,567
140050,2012,114,116
140050,2013,0,120
140050,2014,116,117
140050,2015,114,117
140050,2016,103,104
140050,2017,117,122
140050,2018,111,119
140050,2019,127,131
140060,2012,84,84
140060,2013,0,80
140060,2014,65,67
140060,2015,87,91
140060,2016,83,83
140060,2017,104,106
140060,2018,83,86
140060,2019,104,107
140070,2012,372,432
140070,2013,0,459
140070,2014,435,466
140070,2015,490,518
140070,2016,480,509
140070,2017,423,445
140070,2018,480,513
140070,2019,586,616
150000,2012,4,4
150000,2013,0,8
150000,2014,2,2
150000,2015,2,2
150000,2016,2,2
150000,2017,2,2
150000,2018,1,1
150000,2019,2,3
150010,2012,2391,2530
150010,2013,0,2538
150010,2014,2664,2705
150010,2015,2582,2660
150010,2016,2495,2532
150010,2017,2661,2713
150010,2018,2618,2671
150010,2019,1329,2623
150013,2012,114,114
150013,2013,0,129
150013,2014,97,100
150013,2015,142,143
150013,2016,115,117
150013,2017,138,142
150013,2018,122,130
150013,2019,131,132
150020,2012,594,966
150020,2013,0,1039
150020,2014,1042,1116
150020,2015,703,936
150020,2016,532,996
150020,2017,932,992
150020,2018,958,1013
150020,2019,923,980
150030,2012,641,805
150030,2013,0,788
150030,2014,743,806
150030,2015,822,871
150030,2016,837,911
150030,2017,894,968
150030,2018,931,1022
150030,2019,928,1014
150034,2012,163,164
150034,2013,0,190
150034,2014,171,182
150034,2015,185,199
150034,2016,157,163
150034,2017,209,215
150034,2018,218,223
150034,2019,224,225
150040,2012,1114,1138
150040,2013,0,1126
150040,2014,1127,1133
150040,2015,1121,1133
150040,2016,1024,1031
150040,2017,1125,1132
150040,2018,1186,1190
150040,2019,1172,1194
150050,2012,660,693
150050,2013,0,754
150050,2014,780,801
150050,2015,783,797
150050,2016,711,739
150050,2017,719,745
150050,2018,759,780
150050,2019,664,779
150060,2012,816,2105
150060,2013,0,2529
150060,2014,2588,2866
150060,2015,2466,2991
150060,2016,2637,2846
150060,2017,2336,2487
150060,2018,2535,2568
150060,2019,2288,2371
150070,2012,561,751
150070,2013,0,736
150070,2014,642,737
150070,2015,602,742
150070,2016,523,819
150070,2017,820,855
150070,2018,868,871
150070,2019,830,837
150080,2012,7942,8195
150080,2013,0,8035
150080,2014,7831,8282
150080,2015,7945,8397
150080,2016,6750,8011
150080,2017,7517,7940
150080,2018,7115,7772
150080,2019,6634,7408
150085,2012,278,530
150085,2013,0,531
150085,2014,481,542
150085,2015,516,600
150085,2016,546,575
150085,2017,612,630
150085,2018,653,656
150085,2019,641,652
150090,2012,606,965
150090,2013,0,1050
150090,2014,784,990
