CODMUNRES,Ano,Qtd_Morte_Materna_Direta,Qtd_Total,Ratio
130100,2015,2.0,628,318.47133757961785
130100,2016,0.0,625,0.0
130100,2017,0.0,626,0.0
130100,2018,1.0,636,157.23270440251574
130100,2019,0.0,635,0.0
130110,2012,0.0,414,0.0
130110,2013,0.0,442,0.0
130110,2014,0.0,474,0.0
130110,2015,0.0,419,0.0
130110,2016,0.0,481,0.0
130110,2017,0.0,512,0.0
130110,2018,0.0,550,0.0
130110,2019,1.0,564,177.3049645390071
130115,2012,0.0,171,0.0
130115,2013,0.0,168,0.0
130115,2014,1.0,208,480.7692307692308
130115,2015,0.0,215,0.0
130115,2016,0.0,199,0.0
130115,2017,0.0,237,0.0
130115,2018,0.0,275,0.0
130115,2019,0.0,198,0.0
130120,2012,2.0,1668,119.9040767386091
130120,2013,0.0,1750,0.0
130120,2014,1.0,1704,58.68544600938967
130120,2015,1.0,1744,57.33944954128441
130120,2016,0.0,1646,0.0
130120,2017,1.0,1656,60.386473429951685
130120,2018,2.0,1747,114.48196908986833
130120,2019,2.0,1698,117.7856301531213
130130,2012,0.0,432,0.0
130130,2013,0.0,424,0.0
130130,2014,0.0,426,0.0
130130,2015,0.0,434,0.0
130130,2016,2.0,404,495.0495049504951
130130,2017,1.0,439,227.7904328018223
130130,2018,0.0,429,0.0
130130,2019,1.0,468,213.67521367521368
130140,2012,0.0,833,0.0
130140,2013,1.0,852,117.37089201877934
130140,2014,0.0,852,0.0
130140,2015,0.0,825,0.0
130140,2016,0.0,787,0.0
130140,2017,2.0,854,234.192037470726
130140,2018,0.0,830,0.0
130140,2019,0.0,792,0.0
130150,2012,0.0,314,0.0
130150,2013,1.0,366,273.224043715847
130150,2014,1.0,386,259.0673575129534
130150,2015,0.0,412,0.0
130150,2016,0.0,369,0.0
130150,2017,1.0,424,235.84905660377356
130150,2018,0.0,369,0.0
130150,2019,0.0,391,0.0
130160,2012,0.0,520,0.0
130160,2013,0.0,556,0.0
130160,2014,0.0,606,0.0
130160,2015,1.0,670,149.2537313432836
130160,2016,0.0,573,0.0
130160,2017,3.0,630,476.19047619047626
130160,2018,1.0,621,161.0305958132045
130160,2019,1.0,579,172.71157167530222
130165,2012,0.0,360,0.0
130165,2013,0.0,329,0.0
130165,2014,0.0,356,0.0
130165,2015,0.0,334,0.0
130165,2016,0.0,284,0.0
130165,2017,0.0,326,0.0
130165,2018,1.0,293,341.29692832764505
130165,2019,0.0,285,0.0
130170,2012,0.0,847,0.0
130170,2013,0.0,902,0.0
130170,2014,1.0,970,103.09278350515464
130170,2015,0.0,941,0.0
130170,2016,0.0,977,0.0
