CODMUNRES,ano_nasc,Qtd_Gravidez,Qtd_Total,Ratio
120033,2012,11.0,386,0.02849740932642487
120033,2013,2.0,399,0.005012531328320802
120033,2014,4.0,413,0.009685230024213076
120033,2015,4.0,395,0.010126582278481013
120033,2016,0.0,325,0.0
120033,2017,2.0,358,0.00558659217877095
120033,2018,3.0,367,0.008174386920980926
120033,2019,5.0,345,0.014492753623188406
120033,2020,13.0,420,0.030952380952380953
120034,2012,2.0,256,0.0078125
120034,2013,2.0,229,0.008733624454148471
120034,2014,2.0,243,0.00823045267489712
120034,2015,6.0,266,0.022556390977443608
120034,2016,5.0,236,0.0211864406779661
120034,2017,0.0,261,0.0
120034,2018,2.0,252,0.007936507936507936
120034,2019,3.0,230,0.013043478260869565
120034,2020,4.0,280,0.014285714285714285
120035,2012,7.0,474,0.014767932489451477
120035,2013,7.0,485,0.01443298969072165
120035,2014,5.0,458,0.010917030567685589
120035,2015,3.0,445,0.006741573033707865
120035,2016,8.0,352,0.022727272727272728
120035,2017,0.0,388,0.0
120035,2018,10.0,407,0.02457002457002457
120035,2019,7.0,448,0.015625
120035,2020,7.0,334,0.020958083832335328
120038,2012,6.0,353,0.0169971671388102
120038,2013,7.0,334,0.020958083832335328
120038,2014,4.0,322,0.012422360248447204
120038,2015,2.0,350,0.005714285714285714
120038,2016,4.0,339,0.011799410029498525
120038,2017,3.0,305,0.009836065573770493
120038,2018,6.0,309,0.019417475728155338
120038,2019,2.0,318,0.006289308176100629
120038,2020,4.0,285,0.014035087719298246
120039,2012,7.0,338,0.020710059171597635
120039,2013,2.0,287,0.006968641114982578
120039,2014,8.0,250,0.032
120039,2015,3.0,262,0.011450381679389313
120039,2016,2.0,230,0.008695652173913044
120039,2017,2.0,282,0.0070921985815602835
120039,2018,2.0,254,0.007874015748031496
120039,2019,10.0,270,0.037037037037037035
120039,2020,6.0,287,0.020905923344947737
120040,2012,108.0,6531,0.016536518144235186
120040,2013,113.0,7116,0.015879707700955592
120040,2014,146.0,7011,0.020824418770503495
120040,2015,129.0,6965,0.018521177315147165
120040,2016,94.0,6614,0.014212276988206833
120040,2017,96.0,6460,0.014860681114551083
120040,2018,133.0,6495,0.020477290223248654
120040,2019,101.0,6324,0.01597090449082859
120040,2020,114.0,5745,0.019843342036553524
120042,2012,3.0,390,0.007692307692307693
120042,2013,4.0,363,0.011019283746556474
120042,2014,6.0,394,0.015228426395939087
120042,2015,7.0,396,0.017676767676767676
120042,2016,6.0,304,0.019736842105263157
120042,2017,10.0,366,0.0273224043715847
120042,2018,17.0,394,0.04314720812182741
120042,2019,2.0,334,0.005988023952095809
120042,2020,6.0,347,0.01729106628242075
120043,2012,3.0,259,0.011583011583011582
120043,2013,2.0,223,0.008968609865470852
120043,2014,6.0,185,0.032432432432432434
120043,2015,4.0,150,0.02666666666666667
120043,2016,0.0,95,0.0
120043,2017,0.0,198,0.0
120043,2018,4.0,207,0.01932367149758454
120043,2019,2.0,186,0.010752688172043012
120043,2020,3.0,149,0.020134228187919462
120045,2012,10.0,396,0.025252525252525252
120045,2013,7.0,425,0.01647058823529412
120045,2014,6.0,453,0.013245033112582781
120045,2015,13.0,443,0.029345372460496615
120045,2016,15.0,410,0.036585365853658534
120045,2017,4.0,395,0.010126582278481013
120045,2018,8.0,476,0.01680672268907563
120045,2019,2.0,417,0.004796163069544364
120045,2020,2.0,401,0.004987531172069825
120050,2012,8.0,929,0.008611410118406888
120050,2013,24.0,904,0.02654867256637168
120050,2014,18.0,827,0.02176541717049577
120050,2015,10.0,847,0.011806375442739079
120050,2016,21.0,762,0.027559055118110236
120050,2017,15.0,780,0.019230769230769232
120050,2018,4.0,788,0.005076142131979695
120050,2019,19.0,768,0.024739583333333332
