CODMUNRES,Ano,Qtd_Obitos_Investigados,Qtd_Total,Ratio
311140,2015,3,3,1.0
311140,2016,1,2,0.5
311140,2017,1,1,1.0
311140,2018,2,4,0.5
311140,2019,1,5,0.2
311150,2012,2,6,0.3333333333333333
311150,2013,1,6,0.1666666666666666
311150,2014,0,11,0.0
311150,2015,2,9,0.2222222222222222
311150,2016,5,5,1.0
311150,2017,4,9,0.4444444444444444
311150,2018,1,4,0.25
311150,2019,0,2,0.0
311160,2012,5,9,0.5555555555555556
311160,2013,1,7,0.1428571428571428
311160,2014,2,7,0.2857142857142857
311160,2015,3,7,0.4285714285714285
311160,2016,4,10,0.4
311160,2017,2,10,0.2
311160,2018,4,7,0.5714285714285714
311160,2019,7,12,0.5833333333333334
311170,2013,0,1,0.0
311170,2014,1,1,1.0
311170,2017,1,2,0.5
311170,2018,0,1,0.0
311170,2019,0,2,0.0
