CODMUNRES,ano_nasc,Qtd_Menor20,Qtd_Total,Ratio
130000,2013,7.0,18,0.3888888888888889
130000,2014,12.0,23,0.5217391304347826
130000,2015,16.0,18,0.8888888888888888
130000,2016,18.0,25,0.72
130000,2017,13.0,17,0.7647058823529411
130000,2018,19.0,25,0.76
130000,2019,3.0,12,0.25
130002,2012,143.0,320,0.446875
130002,2013,157.0,346,0.45375722543352603
130002,2014,143.0,308,0.4642857142857143
130002,2015,164.0,342,0.47953216374269003
130002,2016,151.0,325,0.4646153846153846
130002,2017,179.0,401,0.4463840399002494
130002,2018,152.0,346,0.4393063583815029
130002,2019,173.0,418,0.4138755980861244
130006,2012,86.0,242,0.35537190082644626
130006,2013,102.0,261,0.39080459770114945
130006,2014,97.0,264,0.36742424242424243
130006,2015,81.0,214,0.37850467289719625
130006,2016,99.0,280,0.3535714285714286
130006,2017,104.0,267,0.3895131086142322
130006,2018,92.0,247,0.3724696356275304
130006,2019,90.0,265,0.33962264150943394
130008,2012,85.0,199,0.4271356783919598
130008,2013,80.0,201,0.39800995024875624
130008,2014,97.0,212,0.45754716981132076
130008,2015,67.0,163,0.4110429447852761
130008,2016,69.0,182,0.3791208791208791
130008,2017,80.0,196,0.40816326530612246
130008,2018,78.0,214,0.3644859813084112
130008,2019,67.0,190,0.3526315789473684
130010,2012,101.0,247,0.4089068825910931
130010,2013,118.0,285,0.41403508771929826
130010,2014,108.0,267,0.4044943820224719
130010,2015,103.0,255,0.403921568627451
130010,2016,111.0,266,0.41729323308270677
130010,2017,91.0,257,0.3540856031128405
130010,2018,96.0,247,0.38866396761133604
130010,2019,91.0,233,0.3905579399141631
130014,2012,74.0,195,0.37948717948717947
130014,2013,86.0,223,0.38565022421524664
130014,2014,101.0,223,0.452914798206278
130014,2015,87.0,204,0.4264705882352941
130014,2016,83.0,211,0.3933649289099526
130014,2017,96.0,233,0.41201716738197425
130014,2018,82.0,242,0.33884297520661155
130014,2019,70.0,239,0.2928870292887029
130020,2012,146.0,357,0.40896358543417366
130020,2013,119.0,353,0.3371104815864023
130020,2014,161.0,435,0.3701149425287356
130020,2015,164.0,438,0.3744292237442922
130020,2016,125.0,380,0.32894736842105265
130020,2017,147.0,382,0.38481675392670156
130020,2018,117.0,357,0.3277310924369748
130020,2019,117.0,313,0.3738019169329074
130030,2012,352.0,877,0.4013683010262258
130030,2013,354.0,875,0.4045714285714286
130030,2014,380.0,944,0.4025423728813559
130030,2015,324.0,829,0.390832328106152
130030,2016,355.0,890,0.398876404494382
130030,2017,357.0,897,0.3979933110367893
